#TLB experiment
#   page size = 64 bytes
#   max pages = 4096
#   total number or references = 10485760 Mi
#Pages	 proc	 sum
4	 0.012990	 10485760 
8	 0.008701	 10485760 
16	 0.007652	 10485760 
32	 0.007126	 10485760 
64	 0.007026	 10485760 
128	 0.007395	 10485760 
256	 0.007100	 10485760 
512	 0.006856	 10485760 
1024	 0.007315	 10485760 
2048	 0.007142	 10485760 
4096	 0.008334	 10485760 
